Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 5346.85it/s]
Loading datasets
Training
Trainable parameters: 0.289% (4.981M/1720.575M)
Starting training..., iters: 360

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  4.72it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  4.71it/s]
Iter 1: Val loss 3.769, Val took 0.222s
Iter 1: Train loss 3.681, Learning Rate 1.000e-04, It/sec 2.386, Tokens/sec 71.582, Trained Tokens 30, Peak mem 2.412 GB
Iter 32: Train loss 0.058, Learning Rate 1.000e-04, It/sec 2.711, Tokens/sec 208.747, Trained Tokens 2064, Peak mem 3.156 GB
Iter 33: Train loss 0.155, Learning Rate 1.000e-04, It/sec 1.871, Tokens/sec 207.699, Trained Tokens 2175, Peak mem 3.156 GB
Iter 34: Train loss 0.031, Learning Rate 1.000e-04, It/sec 2.697, Tokens/sec 207.664, Trained Tokens 2252, Peak mem 3.156 GB
Iter 35: Train loss 0.256, Learning Rate 1.000e-04, It/sec 2.702, Tokens/sec 81.060, Trained Tokens 2282, Peak mem 3.156 GB
Iter 36: Train loss 0.088, Learning Rate 1.000e-04, It/sec 1.906, Tokens/sec 249.667, Trained Tokens 2413, Peak mem 3.156 GB
Iter 37: Train loss 0.188, Learning Rate 1.000e-04, It/sec 1.989, Tokens/sec 101.444, Trained Tokens 2464, Peak mem 3.156 GB
Iter 38: Train loss 0.010, Learning Rate 1.000e-04, It/sec 2.422, Tokens/sec 186.482, Trained Tokens 2541, Peak mem 3.156 GB
Iter 39: Train loss 0.105, Learning Rate 1.000e-04, It/sec 2.214, Tokens/sec 146.146, Trained Tokens 2607, Peak mem 3.156 GB
Iter 40: Train loss 0.009, Learning Rate 1.000e-04, It/sec 2.675, Tokens/sec 205.958, Trained Tokens 2684, Peak mem 3.156 GB
Iter 41: Train loss 0.198, Learning Rate 1.000e-04, It/sec 2.443, Tokens/sec 75.736, Trained Tokens 2715, Peak mem 3.156 GB
Iter 42: Train loss 0.130, Learning Rate 1.000e-04, It/sec 2.059, Tokens/sec 63.841, Trained Tokens 2746, Peak mem 3.156 GB
Iter 43: Train loss 0.101, Learning Rate 1.000e-04, It/sec 2.435, Tokens/sec 119.319, Trained Tokens 2795, Peak mem 3.156 GB
Iter 44: Train loss 0.132, Learning Rate 1.000e-04, It/sec 2.985, Tokens/sec 89.559, Trained Tokens 2825, Peak mem 3.156 GB
Iter 45: Train loss 0.096, Learning Rate 1.000e-04, It/sec 2.679, Tokens/sec 136.651, Trained Tokens 2876, Peak mem 3.156 GB
Iter 46: Train loss 0.040, Learning Rate 1.000e-04, It/sec 3.009, Tokens/sec 87.259, Trained Tokens 2905, Peak mem 3.156 GB
Iter 47: Train loss 0.015, Learning Rate 1.000e-04, It/sec 2.991, Tokens/sec 89.734, Trained Tokens 2935, Peak mem 3.156 GB
Iter 48: Train loss 0.198, Learning Rate 1.000e-04, It/sec 2.970, Tokens/sec 92.056, Trained Tokens 2966, Peak mem 3.156 GB
Iter 49: Train loss 0.135, Learning Rate 1.000e-04, It/sec 2.879, Tokens/sec 86.370, Trained Tokens 2996, Peak mem 3.156 GB
Iter 50: Train loss 0.241, Learning Rate 1.000e-04, It/sec 2.153, Tokens/sec 105.491, Trained Tokens 3045, Peak mem 3.156 GB
Iter 51: Train loss 0.078, Learning Rate 1.000e-04, It/sec 2.699, Tokens/sec 83.658, Trained Tokens 3076, Peak mem 3.156 GB
Iter 52: Train loss 0.077, Learning Rate 1.000e-04, It/sec 2.336, Tokens/sec 72.417, Trained Tokens 3107, Peak mem 3.156 GB
Iter 53: Train loss 0.048, Learning Rate 1.000e-04, It/sec 2.263, Tokens/sec 70.138, Trained Tokens 3138, Peak mem 3.156 GB
Iter 54: Train loss 0.163, Learning Rate 1.000e-04, It/sec 2.232, Tokens/sec 113.830, Trained Tokens 3189, Peak mem 3.156 GB
Iter 55: Train loss 0.155, Learning Rate 1.000e-04, It/sec 2.696, Tokens/sec 207.606, Trained Tokens 3266, Peak mem 3.156 GB
Iter 56: Train loss 0.264, Learning Rate 1.000e-04, It/sec 2.436, Tokens/sec 119.384, Trained Tokens 3315, Peak mem 3.156 GB
Iter 57: Train loss 0.107, Learning Rate 1.000e-04, It/sec 2.415, Tokens/sec 118.357, Trained Tokens 3364, Peak mem 3.156 GB
Iter 58: Train loss 0.102, Learning Rate 1.000e-04, It/sec 2.454, Tokens/sec 76.065, Trained Tokens 3395, Peak mem 3.156 GB
Iter 59: Train loss 0.069, Learning Rate 1.000e-04, It/sec 2.719, Tokens/sec 209.387, Trained Tokens 3472, Peak mem 3.156 GB
Iter 60: Train loss 0.079, Learning Rate 1.000e-04, It/sec 2.675, Tokens/sec 80.249, Trained Tokens 3502, Peak mem 3.156 GB
Iter 61: Train loss 0.158, Learning Rate 1.000e-04, It/sec 2.278, Tokens/sec 207.339, Trained Tokens 3593, Peak mem 3.156 GB
Iter 62: Train loss 0.191, Learning Rate 1.000e-04, It/sec 2.726, Tokens/sec 139.047, Trained Tokens 3644, Peak mem 3.156 GB
Iter 63: Train loss 0.180, Learning Rate 1.000e-04, It/sec 2.338, Tokens/sec 109.894, Trained Tokens 3691, Peak mem 3.156 GB
Iter 64: Train loss 0.040, Learning Rate 1.000e-04, It/sec 2.458, Tokens/sec 189.259, Trained Tokens 3768, Peak mem 3.156 GB
Iter 65: Train loss 0.135, Learning Rate 1.000e-04, It/sec 1.951, Tokens/sec 243.894, Trained Tokens 3893, Peak mem 3.156 GB
Iter 66: Train loss 0.142, Learning Rate 1.000e-04, It/sec 2.253, Tokens/sec 67.584, Trained Tokens 3923, Peak mem 3.156 GB
Iter 67: Train loss 0.227, Learning Rate 1.000e-04, It/sec 2.434, Tokens/sec 116.821, Trained Tokens 3971, Peak mem 3.156 GB
Iter 68: Train loss 0.037, Learning Rate 1.000e-04, It/sec 2.680, Tokens/sec 206.359, Trained Tokens 4048, Peak mem 3.156 GB
Iter 69: Train loss 0.151, Learning Rate 1.000e-04, It/sec 3.063, Tokens/sec 91.876, Trained Tokens 4078, Peak mem 3.156 GB
Iter 70: Train loss 0.050, Learning Rate 1.000e-04, It/sec 2.726, Tokens/sec 209.872, Trained Tokens 4155, Peak mem 3.156 GB
Iter 71: Train loss 0.116, Learning Rate 1.000e-04, It/sec 1.907, Tokens/sec 165.913, Trained Tokens 4242, Peak mem 3.156 GB
Iter 72: Train loss 0.235, Learning Rate 1.000e-04, It/sec 2.208, Tokens/sec 156.780, Trained Tokens 4313, Peak mem 3.156 GB
Iter 73: Train loss 0.114, Learning Rate 1.000e-04, It/sec 2.025, Tokens/sec 184.231, Trained Tokens 4404, Peak mem 3.156 GB
Iter 74: Train loss 0.177, Learning Rate 1.000e-04, It/sec 2.454, Tokens/sec 125.129, Trained Tokens 4455, Peak mem 3.156 GB
Iter 75: Train loss 0.148, Learning Rate 1.000e-04, It/sec 2.055, Tokens/sec 145.891, Trained Tokens 4526, Peak mem 3.156 GB
Iter 76: Train loss 0.156, Learning Rate 1.000e-04, It/sec 2.693, Tokens/sec 137.324, Trained Tokens 4577, Peak mem 3.156 GB
Iter 77: Train loss 0.120, Learning Rate 1.000e-04, It/sec 1.996, Tokens/sec 101.778, Trained Tokens 4628, Peak mem 3.156 GB
Iter 78: Train loss 0.111, Learning Rate 1.000e-04, It/sec 2.453, Tokens/sec 76.029, Trained Tokens 4659, Peak mem 3.156 GB
Iter 79: Train loss 0.033, Learning Rate 1.000e-04, It/sec 2.745, Tokens/sec 211.338, Trained Tokens 4736, Peak mem 3.156 GB
Iter 80: Train loss 0.226, Learning Rate 1.000e-04, It/sec 1.905, Tokens/sec 211.400, Trained Tokens 4847, Peak mem 3.156 GB
Iter 81: Train loss 0.032, Learning Rate 1.000e-04, It/sec 2.721, Tokens/sec 209.491, Trained Tokens 4924, Peak mem 3.156 GB
Iter 82: Train loss 0.136, Learning Rate 1.000e-04, It/sec 3.032, Tokens/sec 94.004, Trained Tokens 4955, Peak mem 3.156 GB
Iter 83: Train loss 0.075, Learning Rate 1.000e-04, It/sec 2.728, Tokens/sec 81.839, Trained Tokens 4985, Peak mem 3.156 GB
Iter 84: Train loss 0.106, Learning Rate 1.000e-04, It/sec 2.734, Tokens/sec 84.750, Trained Tokens 5016, Peak mem 3.156 GB
Iter 85: Train loss 0.159, Learning Rate 1.000e-04, It/sec 3.029, Tokens/sec 154.495, Trained Tokens 5067, Peak mem 3.156 GB
Iter 86: Train loss 0.134, Learning Rate 1.000e-04, It/sec 2.452, Tokens/sec 125.052, Trained Tokens 5118, Peak mem 3.156 GB
Iter 87: Train loss 0.113, Learning Rate 1.000e-04, It/sec 2.737, Tokens/sec 180.672, Trained Tokens 5184, Peak mem 3.156 GB
Iter 88: Train loss 0.056, Learning Rate 1.000e-04, It/sec 2.716, Tokens/sec 209.158, Trained Tokens 5261, Peak mem 3.156 GB
Iter 89: Train loss 0.053, Learning Rate 1.000e-04, It/sec 2.726, Tokens/sec 209.881, Trained Tokens 5338, Peak mem 3.156 GB
Iter 90: Train loss 0.277, Learning Rate 1.000e-04, It/sec 2.436, Tokens/sec 114.475, Trained Tokens 5385, Peak mem 3.156 GB
Iter 91: Train loss 0.057, Learning Rate 1.000e-04, It/sec 2.486, Tokens/sec 74.579, Trained Tokens 5415, Peak mem 3.156 GB
Iter 92: Train loss 0.027, Learning Rate 1.000e-04, It/sec 2.508, Tokens/sec 72.738, Trained Tokens 5444, Peak mem 3.156 GB
Iter 93: Train loss 0.177, Learning Rate 1.000e-04, It/sec 1.879, Tokens/sec 170.950, Trained Tokens 5535, Peak mem 3.156 GB
Iter 94: Train loss 0.039, Learning Rate 1.000e-04, It/sec 2.667, Tokens/sec 205.326, Trained Tokens 5612, Peak mem 3.156 GB
Iter 95: Train loss 0.099, Learning Rate 1.000e-04, It/sec 2.726, Tokens/sec 139.008, Trained Tokens 5663, Peak mem 3.156 GB
Iter 96: Train loss 0.040, Learning Rate 1.000e-04, It/sec 3.006, Tokens/sec 90.184, Trained Tokens 5693, Peak mem 3.156 GB
Iter 97: Train loss 0.095, Learning Rate 1.000e-04, It/sec 2.280, Tokens/sec 207.449, Trained Tokens 5784, Peak mem 3.156 GB
Iter 98: Train loss 0.047, Learning Rate 1.000e-04, It/sec 2.890, Tokens/sec 89.578, Trained Tokens 5815, Peak mem 3.156 GB
Iter 99: Train loss 0.163, Learning Rate 1.000e-04, It/sec 1.698, Tokens/sec 212.266, Trained Tokens 5940, Peak mem 3.156 GB
Iter 100: Train loss 0.021, Learning Rate 1.000e-04, It/sec 2.602, Tokens/sec 200.344, Trained Tokens 6017, Peak mem 3.156 GB
Iter 101: Train loss 0.215, Learning Rate 1.000e-04, It/sec 2.077, Tokens/sec 220.139, Trained Tokens 6123, Peak mem 3.156 GB
Iter 102: Train loss 0.163, Learning Rate 1.000e-04, It/sec 2.469, Tokens/sec 120.991, Trained Tokens 6172, Peak mem 3.156 GB
Iter 103: Train loss 0.075, Learning Rate 1.000e-04, It/sec 2.060, Tokens/sec 100.951, Trained Tokens 6221, Peak mem 3.156 GB
Iter 104: Train loss 0.125, Learning Rate 1.000e-04, It/sec 2.441, Tokens/sec 124.503, Trained Tokens 6272, Peak mem 3.156 GB
Iter 105: Train loss 0.076, Learning Rate 1.000e-04, It/sec 2.082, Tokens/sec 272.773, Trained Tokens 6403, Peak mem 3.156 GB
Iter 106: Train loss 0.149, Learning Rate 1.000e-04, It/sec 2.698, Tokens/sec 83.640, Trained Tokens 6434, Peak mem 3.156 GB
Iter 107: Train loss 0.065, Learning Rate 1.000e-04, It/sec 2.054, Tokens/sec 269.029, Trained Tokens 6565, Peak mem 3.156 GB
Iter 108: Train loss 0.123, Learning Rate 1.000e-04, It/sec 2.259, Tokens/sec 67.775, Trained Tokens 6595, Peak mem 3.156 GB
Iter 109: Train loss 0.097, Learning Rate 1.000e-04, It/sec 2.730, Tokens/sec 79.159, Trained Tokens 6624, Peak mem 3.156 GB
Iter 110: Train loss 0.096, Learning Rate 1.000e-04, It/sec 2.033, Tokens/sec 266.270, Trained Tokens 6755, Peak mem 3.156 GB
Iter 111: Train loss 0.297, Learning Rate 1.000e-04, It/sec 2.297, Tokens/sec 71.202, Trained Tokens 6786, Peak mem 3.156 GB
Iter 112: Train loss 0.076, Learning Rate 1.000e-04, It/sec 2.678, Tokens/sec 80.337, Trained Tokens 6816, Peak mem 3.156 GB
Iter 113: Train loss 0.059, Learning Rate 1.000e-04, It/sec 2.698, Tokens/sec 83.624, Trained Tokens 6847, Peak mem 3.156 GB
Iter 114: Train loss 0.139, Learning Rate 1.000e-04, It/sec 1.880, Tokens/sec 246.340, Trained Tokens 6978, Peak mem 3.156 GB
Iter 115: Train loss 0.186, Learning Rate 1.000e-04, It/sec 2.059, Tokens/sec 104.994, Trained Tokens 7029, Peak mem 3.156 GB
Iter 116: Train loss 0.103, Learning Rate 1.000e-04, It/sec 2.338, Tokens/sec 119.225, Trained Tokens 7080, Peak mem 3.156 GB
Iter 117: Train loss 0.050, Learning Rate 1.000e-04, It/sec 2.441, Tokens/sec 187.987, Trained Tokens 7157, Peak mem 3.156 GB
Iter 118: Train loss 0.132, Learning Rate 1.000e-04, It/sec 2.042, Tokens/sec 185.809, Trained Tokens 7248, Peak mem 3.156 GB
Iter 119: Train loss 0.145, Learning Rate 1.000e-04, It/sec 2.258, Tokens/sec 110.653, Trained Tokens 7297, Peak mem 3.156 GB
Iter 120: Train loss 0.055, Learning Rate 1.000e-04, It/sec 2.969, Tokens/sec 89.057, Trained Tokens 7327, Peak mem 3.156 GB
Iter 121: Train loss 0.046, Learning Rate 1.000e-04, It/sec 2.424, Tokens/sec 75.132, Trained Tokens 7358, Peak mem 3.156 GB
Iter 122: Train loss 0.137, Learning Rate 1.000e-04, It/sec 2.081, Tokens/sec 147.731, Trained Tokens 7429, Peak mem 3.156 GB
Iter 123: Train loss 0.026, Learning Rate 1.000e-04, It/sec 3.015, Tokens/sec 90.450, Trained Tokens 7459, Peak mem 3.156 GB
Iter 124: Train loss 0.070, Learning Rate 1.000e-04, It/sec 2.431, Tokens/sec 121.571, Trained Tokens 7509, Peak mem 3.156 GB
Iter 125: Train loss 0.110, Learning Rate 1.000e-04, It/sec 2.171, Tokens/sec 67.287, Trained Tokens 7540, Peak mem 3.156 GB
Iter 126: Train loss 0.070, Learning Rate 1.000e-04, It/sec 2.432, Tokens/sec 187.296, Trained Tokens 7617, Peak mem 3.156 GB
Iter 127: Train loss 0.024, Learning Rate 1.000e-04, It/sec 2.643, Tokens/sec 76.642, Trained Tokens 7646, Peak mem 3.156 GB
Iter 128: Train loss 0.101, Learning Rate 1.000e-04, It/sec 2.458, Tokens/sec 120.430, Trained Tokens 7695, Peak mem 3.156 GB
Iter 129: Train loss 0.058, Learning Rate 1.000e-04, It/sec 2.734, Tokens/sec 210.504, Trained Tokens 7772, Peak mem 3.156 GB
Iter 130: Train loss 0.111, Learning Rate 1.000e-04, It/sec 2.265, Tokens/sec 206.146, Trained Tokens 7863, Peak mem 3.156 GB
Iter 131: Train loss 0.055, Learning Rate 1.000e-04, It/sec 2.395, Tokens/sec 184.449, Trained Tokens 7940, Peak mem 3.156 GB
Iter 132: Train loss 0.102, Learning Rate 1.000e-04, It/sec 2.218, Tokens/sec 113.110, Trained Tokens 7991, Peak mem 3.156 GB
Iter 133: Train loss 0.035, Learning Rate 1.000e-04, It/sec 2.672, Tokens/sec 205.778, Trained Tokens 8068, Peak mem 3.156 GB
Iter 134: Train loss 0.032, Learning Rate 1.000e-04, It/sec 2.745, Tokens/sec 82.349, Trained Tokens 8098, Peak mem 3.156 GB
Iter 135: Train loss 0.140, Learning Rate 1.000e-04, It/sec 2.066, Tokens/sec 218.995, Trained Tokens 8204, Peak mem 3.156 GB
Iter 136: Train loss 0.051, Learning Rate 1.000e-04, It/sec 3.004, Tokens/sec 93.121, Trained Tokens 8235, Peak mem 3.156 GB
Iter 137: Train loss 0.027, Learning Rate 1.000e-04, It/sec 3.009, Tokens/sec 90.257, Trained Tokens 8265, Peak mem 3.156 GB
Iter 138: Train loss 0.062, Learning Rate 1.000e-04, It/sec 2.452, Tokens/sec 120.168, Trained Tokens 8314, Peak mem 3.156 GB
Iter 139: Train loss 0.114, Learning Rate 1.000e-04, It/sec 1.925, Tokens/sec 213.679, Trained Tokens 8425, Peak mem 3.156 GB
Iter 140: Train loss 0.076, Learning Rate 1.000e-04, It/sec 2.259, Tokens/sec 110.695, Trained Tokens 8474, Peak mem 3.156 GB
Iter 141: Train loss 0.027, Learning Rate 1.000e-04, It/sec 3.000, Tokens/sec 93.002, Trained Tokens 8505, Peak mem 3.156 GB
Iter 142: Train loss 0.014, Learning Rate 1.000e-04, It/sec 2.721, Tokens/sec 209.525, Trained Tokens 8582, Peak mem 3.156 GB
Iter 143: Train loss 0.017, Learning Rate 1.000e-04, It/sec 2.715, Tokens/sec 209.092, Trained Tokens 8659, Peak mem 3.156 GB
Iter 144: Train loss 0.116, Learning Rate 1.000e-04, It/sec 2.239, Tokens/sec 293.321, Trained Tokens 8790, Peak mem 3.156 GB
Iter 145: Train loss 0.135, Learning Rate 1.000e-04, It/sec 2.177, Tokens/sec 106.678, Trained Tokens 8839, Peak mem 3.156 GB
Iter 146: Train loss 0.076, Learning Rate 1.000e-04, It/sec 2.011, Tokens/sec 142.760, Trained Tokens 8910, Peak mem 3.156 GB
Iter 147: Train loss 0.035, Learning Rate 1.000e-04, It/sec 2.472, Tokens/sec 74.166, Trained Tokens 8940, Peak mem 3.156 GB
Iter 148: Train loss 0.124, Learning Rate 1.000e-04, It/sec 2.216, Tokens/sec 104.148, Trained Tokens 8987, Peak mem 3.156 GB
Iter 149: Train loss 0.058, Learning Rate 1.000e-04, It/sec 1.909, Tokens/sec 250.036, Trained Tokens 9118, Peak mem 3.156 GB
Iter 150: Train loss 0.059, Learning Rate 1.000e-04, It/sec 2.727, Tokens/sec 139.102, Trained Tokens 9169, Peak mem 3.156 GB
Iter 151: Train loss 0.009, Learning Rate 1.000e-04, It/sec 2.695, Tokens/sec 207.547, Trained Tokens 9246, Peak mem 3.156 GB
Iter 152: Train loss 0.123, Learning Rate 1.000e-04, It/sec 3.035, Tokens/sec 94.079, Trained Tokens 9277, Peak mem 3.156 GB
Iter 153: Train loss 0.022, Learning Rate 1.000e-04, It/sec 2.698, Tokens/sec 207.774, Trained Tokens 9354, Peak mem 3.156 GB
Iter 154: Train loss 0.070, Learning Rate 1.000e-04, It/sec 1.848, Tokens/sec 168.185, Trained Tokens 9445, Peak mem 3.156 GB
Iter 155: Train loss 0.073, Learning Rate 1.000e-04, It/sec 2.506, Tokens/sec 77.680, Trained Tokens 9476, Peak mem 3.156 GB
Iter 156: Train loss 0.026, Learning Rate 1.000e-04, It/sec 2.738, Tokens/sec 180.739, Trained Tokens 9542, Peak mem 3.156 GB
Iter 157: Train loss 0.087, Learning Rate 1.000e-04, It/sec 2.457, Tokens/sec 76.172, Trained Tokens 9573, Peak mem 3.156 GB
Iter 158: Train loss 0.004, Learning Rate 1.000e-04, It/sec 2.740, Tokens/sec 211.014, Trained Tokens 9650, Peak mem 3.156 GB
Iter 159: Train loss 0.097, Learning Rate 1.000e-04, It/sec 2.723, Tokens/sec 84.412, Trained Tokens 9681, Peak mem 3.156 GB
Iter 160: Train loss 0.004, Learning Rate 1.000e-04, It/sec 2.532, Tokens/sec 194.933, Trained Tokens 9758, Peak mem 3.156 GB
Iter 161: Train loss 0.135, Learning Rate 1.000e-04, It/sec 1.724, Tokens/sec 215.454, Trained Tokens 9883, Peak mem 3.156 GB
Iter 162: Train loss 0.077, Learning Rate 1.000e-04, It/sec 2.040, Tokens/sec 267.190, Trained Tokens 10014, Peak mem 3.156 GB
Iter 163: Train loss 0.017, Learning Rate 1.000e-04, It/sec 2.691, Tokens/sec 80.719, Trained Tokens 10044, Peak mem 3.156 GB
Iter 164: Train loss 0.005, Learning Rate 1.000e-04, It/sec 2.688, Tokens/sec 206.984, Trained Tokens 10121, Peak mem 3.156 GB
Iter 165: Train loss 0.231, Learning Rate 1.000e-04, It/sec 2.458, Tokens/sec 125.369, Trained Tokens 10172, Peak mem 3.156 GB
Iter 166: Train loss 0.007, Learning Rate 1.000e-04, It/sec 2.380, Tokens/sec 183.287, Trained Tokens 10249, Peak mem 3.156 GB
Iter 167: Train loss 0.133, Learning Rate 1.000e-04, It/sec 2.049, Tokens/sec 104.499, Trained Tokens 10300, Peak mem 3.156 GB
Iter 168: Train loss 0.007, Learning Rate 1.000e-04, It/sec 2.699, Tokens/sec 207.814, Trained Tokens 10377, Peak mem 3.156 GB
Iter 169: Train loss 0.089, Learning Rate 1.000e-04, It/sec 2.235, Tokens/sec 158.691, Trained Tokens 10448, Peak mem 3.156 GB
Iter 170: Train loss 0.057, Learning Rate 1.000e-04, It/sec 2.447, Tokens/sec 161.485, Trained Tokens 10514, Peak mem 3.156 GB
Iter 171: Train loss 0.006, Learning Rate 1.000e-04, It/sec 2.698, Tokens/sec 207.746, Trained Tokens 10591, Peak mem 3.156 GB
Iter 172: Train loss 0.022, Learning Rate 1.000e-04, It/sec 2.042, Tokens/sec 63.294, Trained Tokens 10622, Peak mem 3.156 GB
Iter 173: Train loss 0.084, Learning Rate 1.000e-04, It/sec 2.021, Tokens/sec 183.876, Trained Tokens 10713, Peak mem 3.156 GB
Iter 174: Train loss 0.099, Learning Rate 1.000e-04, It/sec 1.901, Tokens/sec 210.959, Trained Tokens 10824, Peak mem 3.156 GB
Iter 175: Train loss 0.012, Learning Rate 1.000e-04, It/sec 2.988, Tokens/sec 89.637, Trained Tokens 10854, Peak mem 3.156 GB
Iter 176: Train loss 0.044, Learning Rate 1.000e-04, It/sec 2.461, Tokens/sec 120.593, Trained Tokens 10903, Peak mem 3.156 GB
Iter 177: Train loss 0.090, Learning Rate 1.000e-04, It/sec 1.916, Tokens/sec 251.041, Trained Tokens 11034, Peak mem 3.156 GB
Iter 178: Train loss 0.029, Learning Rate 1.000e-04, It/sec 2.721, Tokens/sec 209.514, Trained Tokens 11111, Peak mem 3.156 GB
Iter 179: Train loss 0.023, Learning Rate 1.000e-04, It/sec 2.068, Tokens/sec 64.112, Trained Tokens 11142, Peak mem 3.156 GB
